Year,Quarter,Index
1951,Q4,1.04
1957,Q3,1.32
1957,Q4,1.53
1958,Q1,1.65
1963,Q3,1.14
1963,Q4,1.37
1965,Q3,1.55
1965,Q4,1.97
1966,Q1,1.17
1969,Q1,1.09
1972,Q3,1.37
1972,Q4,2.09
1973,Q1,1.25
1982,Q3,1.07
1982,Q4,2.18
1983,Q1,1.92
1983,Q2,1.06
1986,Q4,1.14
1987,Q1,1.19
1987,Q3,1.70
1987,Q4,1.25
1991,Q4,1.21
1992,Q1,1.63
1992,Q2,1.06
1994,Q4,1.00
1997,Q3,1.90
1997,Q4,2.40
1998,Q1,1.93
2002,Q4,1.31
2009,Q4,1.31
2010,Q1,1.31
2015,Q2,1.02
2015,Q3,1.83
2015,Q4,2.53
2016,Q1,2.23
